,simulation_1
2082-07-05,9.598589429707081
2082-07-06,9.211862272940772
2082-07-07,8.966805775595862
2082-07-08,8.956624543167978
2082-07-09,8.89420518328074
2082-07-10,8.644010338191048
2082-07-11,8.666665786004954
2082-07-12,8.526841752151245
2082-07-13,9.252169435633395
2082-07-14,9.495314875733165
2082-07-15,8.43493424778931
2082-07-16,8.39909316671654
2082-07-17,8.262963574602688
2082-07-18,8.693583377384693
2082-07-19,9.702168017464833
2082-07-20,7.90145509354014
2082-07-21,7.770647134088125
2082-07-22,8.001714553300939
2082-07-23,8.083752274951749
2082-07-24,8.105260528239217
2082-07-25,8.00520898075625
2082-07-26,8.144800231029727
2082-07-27,10.183544774354568
2082-07-28,8.548572845621138
2082-07-29,7.204902645515782
2082-07-30,6.902682506055574
2082-07-31,6.710167073829661
2082-08-01,6.871597238143549
2082-08-02,7.137751410394165
2082-08-03,7.39131416640621
2082-08-04,7.358136141449207
2082-08-05,7.088063153161781
2082-08-06,7.133688700989868
2082-08-07,6.450466829420834
2082-08-08,6.617346145714478
2082-08-09,8.816798773490621
2082-08-10,8.043577278304362
2082-08-11,6.773258378199021
2082-08-12,6.848442520782452
2082-08-13,7.321229829757072
2082-08-14,7.288609958596959
2082-08-15,7.32353419586303
2082-08-16,6.799494920129925
2082-08-17,6.374566680398449
2082-08-18,5.679848563824365
2082-08-19,5.4698784633401125
2082-08-20,5.751895187366891
2082-08-21,6.009446721604851
2082-08-22,6.376263193384563
2082-08-23,6.525713312707012
2082-08-24,5.904730391586982
2082-08-25,5.527078563598261
2082-08-26,5.796820361139891
2082-08-27,4.881717081436106
2082-08-28,4.651220493418702
2082-08-29,4.219557031237919
2082-08-30,7.966753572321655
2082-08-31,8.88647239603021
2082-09-01,9.912015705210822
2082-09-02,9.169493014048266
2082-09-03,6.882714340268771
2082-09-04,7.106235720868998
2082-09-05,5.738986764269715
2082-09-06,4.750154167690725
2082-09-07,5.277817650699137
2082-09-08,4.513423346088427
2082-09-09,3.776185815965006
2082-09-10,3.840041470350477
2082-09-11,5.568200991828986
