,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,mean,min,max
2070-02-10,0.1186092680822477,0.1665912132079848,0.11869357079271245,0.15293550773675996,0.1634373631076722,0.1229609570756204,0.06301356371409368,0.1953009321031533,0.20120990872406852,0.13398220675691438,0.16846888138039173,0.22432608125201625,0.0962671520965206,0.06986080780233597,0.16282357330740338,0.1998495974104213,0.14739566153439476,0.06301356371409368,0.22432608125201625
2070-02-11,0.12482464608179317,0.15683644795958518,0.12454088783660511,0.15297294126295205,0.16257045497524858,0.12664776635986433,0.06771656194956124,0.19460612301124613,0.20386863945386038,0.1428198763065907,0.18007452995319556,0.21918049727854422,0.10019157048385997,0.07121000664223798,0.16819033396445898,0.1873570721586652,0.1489755222298918,0.06771656194956124,0.21918049727854422
2070-02-12,0.08465962964937965,0.052403881746326694,0.0773466604740369,0.13920703296456055,0.10777720013302027,0.10156125964357529,0.03963941930980522,0.16274401051680415,0.11683343271733426,0.05022457170948777,0.054072107230772895,0.17808031225408322,0.07864758872054813,0.049847387922568154,0.12518422972123228,0.05915246166044189,0.09233632414837359,0.03963941930980522,0.17808031225408322
2070-02-13,0.06877757679849665,0.04630702690233939,0.052616328094718515,0.12732116177286684,0.08971221200804702,0.08227028686211713,0.028629387098826196,0.13656516458350348,0.07047535513951289,0.02985364909629525,0.027138235103722114,0.14530359760249034,0.07199074472413114,0.04236845829084093,0.09348502098125236,0.03250304499708075,0.07158232812851506,0.027138235103722114,0.14530359760249034
2070-02-14,0.06224825886095372,0.04552471868935357,0.039612682493272884,0.11704905666562294,0.08319209991225249,0.0674304119831368,0.02425898712345717,0.11505240530731732,0.04575784818862936,0.025300251828289943,0.02130652907260141,0.11916078465457458,0.06966831913128368,0.03961177140494509,0.07011900264373974,0.026876057727543437,0.06076057410543589,0.02130652907260141,0.11916078465457458
2070-02-15,0.05932356153270971,0.045033345962703863,0.03273064389122577,0.10816224131037347,0.08030793948397738,0.056009091870861526,0.02247188346280744,0.0973706161307076,0.032553406917047355,0.02421119386702228,0.01997012874322974,0.09830526101171509,0.06860841842248296,0.03846239374172591,0.052894550523018884,0.025601080847025323,0.05387598485741464,0.01997012874322974,0.10816224131037347
2070-02-16,0.05778858183078556,0.04455836700845145,0.02904347712018078,0.10046464412152024,0.07857216134829505,0.04721327919006168,0.02169009030848847,0.08283412361495499,0.025473681844931415,0.023880834266801244,0.019591709444043877,0.08166368676969424,0.06790408060188308,0.03786113315425669,0.0401964252003511,0.025226877514790587,0.04899769708371815,0.019591709444043877,0.10046464412152024
2070-02-17,0.056793043054980084,0.04408475261127284,0.027021825788749728,0.09378797593693061,0.07721220802538427,0.04043399141532933,0.02129992684827035,0.07097392572227158,0.02165263712881828,0.023717028191493884,0.019417819569846163,0.0683807352383261,0.06730699388163332,0.03757201064157959,0.030834169441774306,0.025038396194765923,0.045345464980714144,0.019417819569846163,0.09378797593693061
2070-02-18,0.05601199743378273,0.04361921086778072,0.02587260307784577,0.0879879984348075,0.07598891521256039,0.0352035770708716,0.021062809561536482,0.0611233885238603,0.019565855435571763,0.023590215184047046,0.019288071278743088,0.05777479159271644,0.06675503784570218,0.03714287544517361,0.02393048675925479,0.02489006543154807,0.04248799369723765,0.019288071278743088,0.0879879984348075
2070-02-19,0.055319901019782486,0.043161902146423924,0.02518128819164162,0.0829409583323233,0.0748244248145618,0.031162888967520338,0.020885905036360192,0.05301683880657873,0.01840230677159372,0.023472065460460264,0.01916841162745583,0.04930266226003589,0.06622482307646399,0.03679198878846175,0.0188388089311431,0.024751555163172675,0.04021542058712372,0.01840230677159372,0.0829409583323233
