,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19
1975-03-04,3.000121709589176,1.7541594494318984,2.456917806261689,2.198029253264425,2.103942445934792,2.307945601339809,2.238231846130547,2.7200739253487,2.399417179956923,2.5338994345233803,2.076997905929856,2.3170197472802467,2.5662827592162323,2.0674132178634634,2.625521338884136,1.940491828193306,2.596869617557213,3.436614642075597,2.1724117982292976
1975-03-05,1.9102059242369664,1.268315042371785,1.306342824886549,1.5006902340893769,1.1301968401181874,1.518605059810508,1.2697780361370303,1.8107158515235402,1.6000925178584842,1.502758449918634,1.1653506998828385,1.2369692468008573,1.57493800276313,1.0627079862487774,1.4848240515932138,1.2437830368351848,1.3867009366883458,2.141833649441268,1.2267992430923889
1975-03-06,1.3902385056923543,0.9744600248411974,1.074657091559659,1.0738569716166575,0.8736264197417118,1.1095626726141243,0.9232244004086294,1.2734584200082746,1.2357224375625655,1.1878863545394003,0.8856741278269515,0.9036780692878117,1.2274015246141656,0.8895186497406652,1.0578295046329118,0.9193950764928371,1.0130730780577022,1.690464124509241,0.9193108134790486
1975-03-07,1.0946056905276598,0.7809915123407667,0.9206465059271147,0.81085609505598,0.6994867782563606,0.8724408157544288,0.714561249266177,0.9545097661368314,0.9777646606607392,0.9642458327739335,0.699963616661448,0.7105266684454723,0.9742852364793997,0.7640157148652198,0.7799315111305447,0.7121838779651483,0.7568649572131331,1.3669451485294637,0.7182089987863096
1975-03-08,1.1190685518894024,0.7597564507998246,0.9837854000598671,0.7884515968229451,0.7416476174842487,0.8809329318568725,0.7609317580374457,0.9589783190737354,0.9545257282610063,0.9841868230868608,0.7304658947895395,0.7659592836071152,0.9674987106799546,0.8163436089682343,0.8150705697993279,0.7052069623055532,0.7927960854465732,1.3656242597562245,0.7500478798348158
1975-03-09,2.372943699012268,1.3934846319721532,1.9782908275534772,1.714514568740794,1.6724351865433036,1.8145489371616175,1.7773086069469328,2.1070497131956176,1.8510100258793503,2.012755636558338,1.625786942056958,1.8529247298712765,1.9589036595799056,1.6531895509659609,2.0677708283183582,1.497542148524948,2.001677444124624,2.665491589394758,1.695465837799716
1975-03-10,1.9446106087179769,1.2279711794653543,1.3980581166682278,1.4741367791192475,1.217378243840403,1.5059053199817627,1.3435424334826123,1.794360120188522,1.5359783254925903,1.5527073314350561,1.2052367170414975,1.3477140249500557,1.5312491996106679,1.1434126379927605,1.5702824505105235,1.2103679196166588,1.4690784078960275,2.105235158659278,1.2757635561647633
1975-03-11,1.3727602670080403,0.9298197737315332,1.0027766081600422,1.0410578053260724,0.8409495133498758,1.0753014004753132,0.9133188300666316,1.254464903581641,1.1387693268474446,1.3377193379069823,0.8324529959717363,0.8912133256067887,1.1099472967980906,1.075367261992082,1.0480716440329338,0.8540811965824673,0.974956386596914,1.55587203335014,0.8788309351082417
1975-03-12,1.4673655824605598,0.9484398876275728,1.1712614109528001,1.0648387259617007,0.9685194005856991,1.1448738088133679,1.03567663451604,1.2906014439719677,1.1961548756671199,1.1170161545977835,0.9534921164094737,1.0271108107549514,1.2069880269612743,0.792033055527241,1.2017631262697164,0.9245717433997352,1.12041615035528,1.6839359421596711,0.9843762920590137
1975-03-13,3.05016107146598,1.7507852597218023,2.3939658086804445,2.198771793696686,2.126023428365923,2.3018229282724687,2.271852534210809,2.6756544254649737,2.3224674504330447,2.528335404193212,2.070884532414852,2.351155193339407,2.4496423476661535,1.9908639796360195,2.7746699371256947,1.9251547030081506,2.63394550349455,3.2924249500316756,2.1443561388572014
1975-03-14,2.0869985958313606,1.3317829576111966,1.3587936636811355,1.6016137177328182,1.2536046094315763,1.6286685852083869,1.4010259474683258,1.9125002006747334,1.6309685391041087,1.6209200727188469,1.253662426145815,1.359086805781664,1.5968195953409383,1.091991541555473,1.7388670386383753,1.3196289475379521,1.568578593402613,2.1909004863475916,1.305852260357276
1975-03-15,1.7536331668949834,1.151560192715896,1.274440291761713,1.3309970110971256,1.1288095152761413,1.3703921183899945,1.2054067410788674,1.5704228146655481,1.4356333918195487,1.4662752475630842,1.1084141790477957,1.1648337087254625,1.4275919847639862,1.0458165983588459,1.4906573960057292,1.1355841353865965,1.3758285299583393,1.9640529743250252,1.145631153321459
1975-03-16,1.3122711377750762,0.8949757296393669,0.9763935668472874,0.9720287047510954,0.8208177889048385,1.031961294924296,0.8615233569016045,1.135441878059686,1.088421259026022,1.1129086310885363,0.8008635272401349,0.8207873678732895,1.066630337134833,0.798685448516025,1.0338357207427,0.8439531210551674,0.9539396266739355,1.4982182986697097,0.8241606377951728
1975-03-17,1.2086880909341935,0.8107783461339512,0.9740541645693079,0.8604802054615505,0.7862723236463633,0.9448679223103108,0.8150784935716835,1.0158497316429096,0.9909078851200246,1.0496607817775025,0.756691160587441,0.7896738058115185,0.9846940712408314,0.8014479415044636,0.9474750639723543,0.7672435672481391,0.8838162294469437,1.3925273703837293,0.775693900885662
1975-03-18,1.7245523260631486,1.0783967664716678,1.417837247523854,1.2527340374003297,1.204496192442996,1.3257989482592478,1.268618959602023,1.4922345961704035,1.3670096820605113,1.4902364831066195,1.1512956196739357,1.2759918827534262,1.4010063377420032,1.1735022920253386,1.5256015852068479,1.108690136389165,1.423600421405948,1.9326273389947406,1.1804628917223658
1975-03-19,1.3956883549722758,0.9092842515473067,1.0287338242212298,1.0282551013002497,0.877361640618868,1.0823537903507063,0.9523850971414067,1.2179026725920745,1.0900158614973394,1.1423020519096818,0.8457644481601243,0.9155407311608558,1.0666239067733898,0.8355715412408642,1.135181699071913,0.8697355570974817,1.0223284208256667,1.5052538605354235,0.8704399645080358
1975-03-20,1.2121628409426128,0.800423284710285,0.9346963802757269,0.8793752427626393,0.7759838762186557,0.939425536190712,0.8337039199910681,1.042466494190637,0.9587674515859159,1.020330653825913,0.7407460629320711,0.7904002474094158,0.9375608700935008,0.7633671849286621,0.974550831675042,0.7495819859830352,0.8803671221947768,1.335772139813887,0.76244689346166
1975-03-21,0.9549084256082854,0.645066799712699,0.7476243377720473,0.6625782443620253,0.5910906440473795,0.7450781456687896,0.6376792036410203,0.8011615626707749,0.7517148087879135,0.8080371012399294,0.5601400296553105,0.5957921715577015,0.7215209519959551,0.6075813391297019,0.708729892415529,0.5715653641453635,0.633415632690235,1.0562988179607207,0.5794266798040425
1975-03-22,0.8202024255604766,0.553023984228308,0.6765231263872455,0.546630380209917,0.5102660245472828,0.6398718276272388,0.5539283642498348,0.6735320991646023,0.6374839439819932,0.7043439164113471,0.4785945391657612,0.5173813964702995,0.6097784851751977,0.551323505067239,0.5830149029877685,0.4749102075480437,0.5191780081106149,0.9099452203311704,0.4983740639541654
