,ED,NSE,logNSE,NSEfdc,NSErunoff,Ks,Ratio_Riparian
22,0.6041798679716175,0.38279650556155687,0.761139636947769,0.8082710960329539,0.00733749327985056,0.0132,0.075
23,0.62925740397767,0.2685924901422089,0.8038617493416657,0.8682334659073558,0.0034710523580399055,0.0078,0.371
24,0.552870281305536,0.4032488440378058,0.41063682301042326,0.471241746870262,0.5104941215703579,0.0229,0.274
25,0.7635357025026358,0.2660454269230984,0.11871562215325093,0.38564193629633614,0.20052531273977725,0.0263,0.443
26,0.6546256251192748,0.22076625533453598,0.6041518151836113,0.8142121235750925,0.043067041545261975,0.0082,0.412
27,0.6219392282818738,0.28290925978006054,0.5442210472766122,0.6930329376878832,0.14498464697756974,0.0199,0.057
28,0.3511470576396427,0.3540101265806843,0.8671011526818018,0.9577571674544807,0.762370988144048,0.01,0.062
29,0.5062402992599788,0.26414251835416713,0.4304190619008702,0.6928085333103676,0.7453596912655577,0.0065,0.444
30,0.5418115066314065,0.24870430774937113,0.8493739361837355,0.8885391593947447,0.24192224172634136,0.0151,0.346
31,0.5976734667503184,0.3919416303247264,0.672797220617558,0.7180263593242249,0.06589694485796793,0.0197,0.264
32,0.7132342984238452,0.37596891894037,0.05939984937328213,0.23765049053876763,0.5763345072709103,0.0384,0.365
33,0.8395065681108305,0.206033723770642,0.11503971575045735,0.33863544586958805,0.016056462160437435,0.0081,0.376
34,0.4353822217267955,0.3484329352819686,0.799912402267379,0.9010762206182745,0.4672053723392142,0.0058,0.327
35,0.5178134816093682,0.38645584880605977,0.43028059921991135,0.5319015972975171,0.6096277785964652,0.025,0.488
36,0.7396423431645469,0.2712906457864114,0.1179591163680549,0.3141507391579803,0.3605623319715885,0.0025,0.062
37,0.7189988671150287,0.2874930297343904,0.3774725255095036,0.5276353361948515,0.0255758270309413,0.0305,0.341
38,0.5994235098032822,0.2731298966512681,0.5302091240362855,0.7590531676764254,0.206189451990069,0.0174,0.417
39,0.4586502956764568,0.32158408568163743,0.7463308483710207,0.8481527337300339,0.45797915968649583,0.016,0.453
40,0.633193701830591,0.20061471665972241,0.7744713745365922,0.7869718163108175,0.0680793719520062,0.0054,0.111
41,0.6942600994163218,0.23302514159651777,0.43948291547120333,0.6656847426482556,0.04407541312278329,0.0108,0.263
42,0.5249853072283761,0.30739409014899755,0.7382105982697011,0.8568533085580675,0.2694449516066052,0.0063,0.5
43,0.43158881637284513,0.30753355598326115,0.6815103486647587,0.8977129263984989,0.6079954768760135,0.0035,0.056
44,0.6614110362612708,0.2275861806359658,0.3440321747337852,0.5629001529598441,0.27069549354108424,0.0082,0.185
45,0.5434724638816983,0.37687099365201926,0.4824507221335397,0.560595927647501,0.4236092266367384,0.0335,0.495
46,0.5131870690229096,0.3187298626781092,0.6103175970968591,0.688471138269775,0.41655140379000444,0.0164,0.481
47,0.6762604969444885,0.3984578550711505,0.1288761236140079,0.19675284705174778,0.7482118150992878,0.0274,0.298
48,0.628628374390767,0.2717604000648216,0.7262649837263964,0.8327273207589881,0.026629254041303896,0.0192,0.284
49,0.7122008056721242,0.3096730603614022,0.058292728007802275,0.3609880842941069,0.4928315346236556,0.0414,0.248
50,0.8368645570938658,0.2625908285242664,0.07598107571712709,0.33700702346047684,0.018049796512314753,0.0483,0.438
51,0.6606643250353993,0.4272256745403912,0.13424156303258516,0.23458993322241217,0.712861127522803,0.0429,0.432
52,0.631970699468349,0.3591223618130699,0.19243876573688234,0.3871960077808544,0.601076657923221,0.0297,0.319
53,0.5483440597849181,0.4210681119470917,0.2999560825169645,0.46117444923291817,0.7047573200963757,0.035,0.302
54,0.48388544794571814,0.39741331765172627,0.42533922028625415,0.5768599449618161,0.7466479144114139,0.0243,0.107
55,0.47119922935855013,0.39309279121656393,0.4704906560134626,0.6112783678305737,0.7028572022855863,0.0205,0.182
56,0.7763708256186672,0.15439189262441255,0.13277031815391283,0.30283952900621414,0.3233660362967452,0.0191,0.207
57,0.48221756786356945,0.3033454707824479,0.8628620502321794,0.9176374851847199,0.3525301575884192,0.0121,0.378
