,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18
1981-09-11,0.07430662443273724,0.05415499139837481,0.0719147521044102,0.06186881042062296,0.06273724179237945,0.05475147900446381,0.051889797740637365,0.06521803229468273,0.05220877395988897,0.08659058201714014,0.06385444186414017,0.0584409245698907,0.031376806727906985,0.03379922895589472,0.05215160899980294,0.041396953738162885,0.07375098484948507,0.04494595084528181
1981-09-12,0.06991064461563778,0.051373149651887655,0.07012319007773918,0.05798851771377509,0.06059837842025949,0.05264591751378604,0.0472960500316187,0.06042659068286372,0.04859878931057679,0.08114559267805238,0.06204839632480969,0.054838641253309194,0.02854020703786864,0.03069572485032102,0.0475491672515439,0.037928041516496536,0.0689562175094834,0.0411828213301919
1981-09-13,0.06577152411184661,0.04873352115037461,0.06837562496869554,0.05430956062685707,0.05853171378589292,0.05061764599817802,0.04308109151982214,0.05598066766425399,0.04520316488715718,0.07601740747877755,0.060291214700499404,0.051454419060774484,0.025952648868373226,0.027843374387522664,0.04334153999325095,0.0347397457098695,0.06443365466935465,0.03770944076694213
1981-09-14,0.06191898299456341,0.046238105290770215,0.06667997834328517,0.05480786626758059,0.056544507411902735,0.049446245641024046,0.03954802488145388,0.051929019500166144,0.04724162136209299,0.07153632740913297,0.05861376659669094,0.048318922047745114,0.02400236371386466,0.025731823329772745,0.039631463558119584,0.03193608676137961,0.06062612820389958,0.03638802062611628
1981-09-15,0.5326715889770482,0.3269232538453745,0.511841297034659,0.5065644834615746,0.31842518880692927,0.4580202621275396,0.6121368612661924,0.4493884598544401,0.4740482464673129,0.4447411022580121,0.32542815376408807,0.6814151565022678,0.3010111270263758,0.29865235528682,0.5926483269379587,0.34222689587612254,0.7251199926945988,0.4450073991671625
1981-09-16,1.955114418592669,1.5173153879297763,1.8510032822595686,1.413070333805224,1.585091856065659,1.4485691667953864,1.646396324386175,1.7639022398853963,1.2811406011040394,1.8112905549682738,1.627183782022606,2.030998920727311,1.4033720569093648,0.987169954477197,1.7371757193740098,1.5491184412247199,1.8210691990527885,1.336463292237146
1981-09-17,0.8318817612408352,0.782962039657165,1.0454849719284052,0.20220272406760453,0.8113720513703351,0.6028038159000634,0.3521034464442103,0.545593617171284,0.19620393749360562,0.7143474141207549,0.9220616104571684,0.6051577556989409,0.21143884033279362,0.4424558909109523,0.3631743192875144,0.5314499851180661,0.2550008691208122,0.26130476968006366
1981-09-18,0.43191311546333677,0.4337490523281049,0.6101060451896122,0.18806167963331807,0.4386113632824567,0.28190522983081856,0.3203389473929013,0.3194478329364441,0.18200194408958723,0.396171105755652,0.5392599379679394,0.27157810959820466,0.19049224339914664,0.27762000598466713,0.3308322734472307,0.2820340746307962,0.2377718304785682,0.2387380981545768
1981-09-19,0.28351627450506606,0.2663307130262965,0.3724447020177568,0.17585788684872822,0.2584767901677948,0.1584098684129422,0.2918754924471355,0.2636634362877241,0.16934719194959827,0.2953816951212812,0.3309330582878758,0.1873950181022925,0.17286699665379104,0.21809423274799114,0.30159238116173837,0.21119871228011716,0.22224170765225543,0.2186693340477632
1981-09-20,0.22371734913512056,0.18447672036012203,0.24226369748020032,0.16461423256525054,0.1705696655773016,0.10968871178658866,0.2659411157625134,0.23865746871932428,0.15757229340007395,0.2556969081302417,0.21702391663286386,0.16048773888454052,0.1570729440591094,0.18867329180753173,0.2749367886994072,0.18260692448109986,0.20772591241757507,0.20028755686137348
