DATE,Tmax,Tmin,prec,T,Discharge,ETP
2002-03-19,10.3,5.7,7.3,8.0,2.87976,1.202
2002-03-20,12.1,9.4,15.7,10.75,4.5645,1.502
2002-03-21,12.5,6.0,5.0,9.25,6.20681,1.402
2002-03-22,9.5,4.0,5.2,6.75,4.74124,1.202
2002-03-23,7.7,0.1,0.1,3.9,3.53979,0.898
2002-03-24,8.0,0.3,0.0,4.15,2.58888,0.898
2002-03-25,7.4,-1.4,0.0,3.0,2.01913,0.898
2002-03-26,9.0,-2.5,0.0,3.25,1.6239,0.898
2002-03-27,9.1,-1.6,0.0,3.75,1.32599,0.898
2002-03-28,14.0,-0.8,0.0,6.6,1.11708,1.102
2002-03-29,14.4,0.2,0.1,7.3,0.97584,1.302
2002-03-30,11.8,4.1,0.0,7.95,0.86568,1.202
2002-03-31,15.6,3.3,0.0,9.45,0.7837,1.402
2002-04-01,16.9,5.1,0.0,11.0,0.70031,1.6
2002-04-02,19.1,7.6,0.0,13.350000000000001,0.62852,1.8
2002-04-03,19.3,7.9,0.0,13.600000000000001,0.58032,2.0
2002-04-04,19.3,8.1,0.0,13.7,0.5447,1.9
2002-04-05,15.7,3.7,0.0,9.7,0.51191,1.6
2002-04-06,11.0,0.4,0.0,5.7,0.44987,1.202
2002-04-07,11.9,-0.7,0.0,5.6000000000000005,0.40938,1.3
2002-04-08,13.3,1.8,0.0,7.550000000000001,0.36948,1.398
2002-04-09,12.1,1.9,0.0,7.0,0.36696,1.398
2002-04-10,10.4,2.3,0.0,6.35,0.35044,1.3
2002-04-11,13.4,1.6,0.0,7.5,0.32233,1.398
2002-04-12,16.1,4.3,0.0,10.200000000000001,0.32088,1.702
2002-04-13,8.9,4.9,0.0,6.9,0.3204,1.398
2002-04-14,9.5,1.3,0.0,5.4,0.2923,1.198
2002-04-15,10.9,0.5,0.0,5.7,0.27192,1.3
2002-04-16,6.2,2.5,11.8,4.35,0.35433,1.3
2002-04-17,10.8,5.1,0.8,7.95,0.31922,1.502
2002-04-18,12.5,4.2,2.7,8.35,0.27741,1.502
2002-04-19,10.2,3.8,5.2,7.0,0.29961,1.398
2002-04-20,12.9,2.7,0.0,7.800000000000001,0.31381,1.6
2002-04-21,17.6,5.9,0.0,11.75,0.23374,2.0
2002-04-22,18.6,8.7,0.0,13.65,0.20852,2.2
2002-04-23,18.3,10.1,0.0,14.2,0.20664,2.298
2002-04-24,21.1,9.7,0.0,15.4,0.20529,2.5
2002-04-25,21.2,9.3,0.0,15.25,0.19539,2.5
2002-04-26,11.1,5.2,4.6,8.15,0.19584,1.702
2002-04-27,9.7,4.1,6.8,6.8999999999999995,0.25185,1.6
2002-04-28,10.2,5.6,3.1,7.8999999999999995,0.25351,1.702
2002-04-29,11.9,4.8,6.5,8.35,0.32379,1.8
2002-04-30,16.4,3.9,0.0,10.149999999999999,0.27638,2.0
2002-05-01,14.2,6.7,3.4,10.45,0.23165,2.0
2002-05-02,11.0,6.4,0.9,8.7,0.22634,1.8
2002-05-03,10.5,6.0,0.0,8.25,0.20477,1.8
2002-05-04,7.5,4.8,8.7,6.15,0.23436,1.6
2002-05-05,6.5,2.6,13.7,4.55,0.92711,1.502
2002-05-06,11.5,5.2,0.6,8.35,0.793,1.8
2002-05-07,18.9,4.7,0.2,11.799999999999999,0.78707,2.298
2002-05-08,21.8,10.2,0.0,16.0,0.70768,3.0
2002-05-09,24.4,13.2,1.3,18.799999999999997,0.62381,3.3
2002-05-10,21.0,11.6,0.5,16.3,0.53391,3.0
2002-05-11,19.1,10.2,0.0,14.65,0.45524,2.7
2002-05-12,17.8,10.4,0.0,14.100000000000001,0.40081,2.602
2002-05-13,19.6,8.1,0.0,13.850000000000001,0.34364,2.802
2002-05-14,15.6,8.3,7.4,11.95,0.36607,2.398
2002-05-15,19.9,9.3,0.0,14.6,0.49831,2.802
2002-05-16,24.3,10.7,0.0,17.5,0.29911,3.5
2002-05-17,25.8,12.9,0.0,19.35,0.25764,3.9
2002-05-18,17.4,10.1,8.3,13.75,0.30307,2.802
2002-05-19,18.7,9.1,0.0,13.899999999999999,0.29695,2.702
2002-05-20,21.1,9.3,0.0,15.200000000000001,0.23352,3.1
2002-05-21,23.9,11.0,0.0,17.45,0.21009,3.7
2002-05-22,20.2,10.7,1.3,15.45,0.20664,3.198
2002-05-23,14.3,9.2,2.3,11.75,0.20449,2.502
2002-05-24,16.0,7.6,0.8,11.8,0.17977,2.6
2002-05-25,15.5,8.5,1.6,12.0,0.18975,2.6
2002-05-26,16.1,7.2,0.7,11.65,0.161,2.502
2002-05-27,16.3,5.8,0.0,11.05,0.16612,2.502
2002-05-28,16.1,6.9,0.1,11.5,0.15524,2.6
2002-05-29,15.3,8.3,2.0,11.8,0.14783,2.6
2002-05-30,17.9,6.4,0.0,12.149999999999999,0.13944,2.702
2002-05-31,21.5,8.2,0.0,14.85,0.13239,3.198
2002-06-01,23.1,10.0,0.0,16.55,0.12288,3.5
2002-06-02,24.2,11.5,0.0,17.85,0.12288,3.8
2002-06-03,24.5,12.6,3.4,18.55,0.1198,3.7
2002-06-04,24.3,12.9,5.9,18.6,0.12176,3.8
2002-06-05,19.7,12.6,1.2,16.15,0.16908,3.602
2002-06-06,19.8,10.9,2.0,15.350000000000001,0.14654,3.198
2002-06-07,16.3,11.3,1.5,13.8,0.1887,2.898
2002-06-08,18.9,9.1,0.0,14.0,0.14211,3.1
2002-06-09,20.4,11.0,0.0,15.7,0.12288,3.4
2002-06-10,13.8,9.2,2.4,11.5,0.12723,2.702
2002-06-11,17.6,9.9,2.1,13.75,0.14525,2.898
2002-06-12,19.3,11.9,1.0,15.600000000000001,0.14508,3.5
2002-06-13,18.9,12.6,0.0,15.75,0.12754,3.5
2002-06-14,25.3,14.8,0.1,20.05,0.12176,4.502
2002-06-15,21.1,14.6,4.8,17.85,0.12862,4.202
2002-06-16,26.3,12.9,0.1,19.6,0.1184,4.4
2002-06-17,30.8,17.8,0.0,24.3,0.10944,5.7
2002-06-18,33.5,18.1,0.0,25.8,0.10474,6.102
2002-06-19,27.5,17.0,0.0,22.25,0.09849,4.598
2002-06-20,24.4,14.3,0.3,19.35,0.0972,4.4
2002-06-21,23.2,12.8,0.0,18.0,0.09671,3.9
2002-06-22,27.7,14.3,0.0,21.0,0.09417,4.802
2002-06-23,24.8,15.0,0.0,19.9,0.08832,4.202
2002-06-24,23.6,13.6,0.0,18.6,0.08664,4.002
2002-06-25,24.5,12.3,0.0,18.4,0.0799,4.002
2002-06-26,26.3,14.1,0.0,20.2,0.07666,4.3
2002-06-27,21.4,10.1,0.0,15.75,0.07407,3.5
2002-06-28,18.7,6.5,0.6,12.6,0.07426,2.802
