,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14
2067-02-05,8.816442660943206e-05,0.0001749026554800819,4.101985392169373e-05,4.971367148797609e-05,0.0001320007599215775,9.193142332653448e-05,0.0001770741012370692,0.00037349851892105055,7.654614767466965e-05,0.00010880654777158497,6.838243449307464e-05,9.509525782219865e-08,0.0005762378528119173,0.00022567340077492103
2067-02-06,8.257792551381976e-05,0.00016100418950036518,3.7755818844472676e-05,4.607820201895175e-05,0.00011923578710494782,8.531590556443424e-05,0.00015855887058955525,0.00034006918468690523,6.791826468889137e-05,0.00010027886210434029,6.491743910604416e-05,8.526378032525152e-08,0.0005413523497332898,0.00020562411120444014
2067-02-07,7.757558086406768e-05,0.00014888392032855912,3.48591107652553e-05,4.292074972200348e-05,0.00010793049184126397,7.96213188120621e-05,0.0001422410260594833,0.00031032026251639317,6.054654099808238e-05,9.266369994473389e-05,6.177703732500069e-05,7.644873573975095e-08,0.0005114988395644047,0.00018754983541402075
2067-02-08,7.309227861757829e-05,0.00013825951710621677,3.2286562383373454e-05,4.016375957729222e-05,9.791292430331553e-05,7.468689068170631e-05,0.0001278562413662495,0.00028377485754501035,5.424381374064407e-05,8.585649324585993e-05,5.892206838598713e-05,6.854503956911006e-08,0.00048565830085243246,0.00017125321340284933
2067-02-09,6.907020557077816e-05,0.00012890624838722474,3.0000208783677112e-05,3.774405802391264e-05,8.903213479310494e-05,7.038398424566951e-05,0.00011517202861697423,0.000260033603323373,4.8850856874510076e-05,7.976515200618995e-05,5.63211229443146e-05,6.14584715373891e-08,0.00046305913260037115,0.0001565566436720089
2067-02-10,6.545803033473956e-05,0.00012064184117449508,2.7966587424448063e-05,3.5609949458399466e-05,8.115521698212608e-05,6.660914795783062e-05,0.0001039839028406015,0.00023875873631292789,4.4232210555756186e-05,7.430851368974179e-05,5.394758947657555e-05,5.5104552385643995e-08,0.0004431110263895899,0.00014330030465009764
2067-02-11,0.00037600281198430305,0.0007266721511057268,0.00012481712800247108,3.371892704226565e-05,0.00045856099646667176,0.0003945011134764691,0.0010672202247828922,0.0011780822958908093,0.0004418647020206105,0.00036094731753682515,0.0005447152035758212,4.940753679132551e-08,0.0018574375977257708,0.0008588510170618212
2067-02-12,0.004683728396525026,0.0038716172176824605,0.001975952268838345,0.0009675839349891322,0.0036466913599394906,0.002065977154561202,0.005045754122442708,0.0049560223301725135,0.0029627511188338664,0.002014161218743464,0.003059106027554441,0.0004843293949447471,0.0071975871144485185,0.0037049471840772926
2067-02-13,0.001235342031841254,0.0031310715966007497,0.0012566709971008286,0.0008318857346282929,0.0028769838809205323,0.0017596948404242953,0.00239146708494589,0.004202073255233658,0.002541806774568611,0.001810034450085797,0.0017142364175344058,0.00020081796682983594,0.006034901906866576,0.0019276199675982545
2067-02-14,0.0015285202997598508,0.0035837061919344547,0.0011851447510860382,0.000721289687596094,0.0030840825526746688,0.0021856841835258987,0.003953753724909756,0.005370350056874167,0.0029786404938145837,0.0022693262355762958,0.0018640968236849638,0.0001815243935994591,0.0074824346824955285,0.003111533458828375
2067-02-15,0.0012368694484233736,0.0040105518740462505,0.0011527322027907586,0.0006307043441292756,0.0031582821244309956,0.0026008653150508985,0.004466271710725258,0.006493671293638078,0.003373524031197083,0.002721906029586502,0.002018140676381406,0.00016421132605598136,0.008887224757949962,0.0035777488134266728
2067-02-16,0.0010890259352549796,0.0033588546279097534,0.000941556785722671,0.0005561183900521093,0.002688500190260595,0.0022518848968489753,0.0029051061603413628,0.005550256343070163,0.002899962381884562,0.0024507758840711224,0.0013814405355720063,0.00014867414539724793,0.007630408705174585,0.0025135757309847004
