,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14
2078-11-25,0.20383384994887913,0.13080438678939074,0.17097825723719728,0.1906101286931193,0.12112104589514072,0.1891585736142178,0.13618978237426252,0.12167228840359637,0.1740230497190853,0.16770253844180835,0.16387426765326496,0.18682431257221044,0.146055351263514,0.14460225321923995
2078-11-26,0.201789142668045,0.12887104606143604,0.1691754951580123,0.1885152196640834,0.11939801484260526,0.18728577739548352,0.1345753597934457,0.11998671142158408,0.1720370981380543,0.16573284783844197,0.16202228017850295,0.1850055628981756,0.1440991731299093,0.14270649956733977
2078-11-27,0.19976873317860003,0.12696708390868758,0.16739342259194076,0.18644570868086496,0.1177007806357557,0.1854357639898382,0.13298216771888421,0.11832803833791343,0.17007486313871542,0.16379129774125584,0.16019238465608343,0.1832072740310582,0.14217356413445797,0.14083899107319034
2078-11-28,0.19777190706847286,0.12509195503413148,0.16563160434232724,0.18440105204786056,0.11602880601680088,0.1836078334381784,0.131409670420687,0.11669548958591323,0.1681359038475027,0.161876971011875,0.1583841972055511,0.18142892348627185,0.14027757552939327,0.13899897382794527
2078-11-29,0.19579801050972578,0.12324513609385954,0.16388963553361874,0.1823807391030516,0.1143815816375665,0.18180134093876654,0.12985737328309752,0.11508833808029036,0.1662198100571237,0.15998902371434898,0.1565973521842356,0.1796700278825323,0.13841033155441843,0.13718574279719284
2078-11-30,0.19384644364891185,0.12142612365420817,0.1621671382667383,0.1803842890747273,0.11275862328279945,0.18001569143473575,0.12832481811903346,0.1135059042752084,0.16432619803763818,0.15812667762376326,0.1548315005625486,0.1779301390345327,0.1365710217831921,0.13539863726798135
2078-12-01,0.19191665473722178,0.11963443239135481,0.1604637586649638,0.17841124826658675,0.11115946941182735,0.1782503347500052,0.12681157904610943,0.11194755171765106,0.16245470696996886,0.15628921353699274,0.15308630846209328,0.17620884044843,0.1347588943144931,0.13363703674741564
2078-12-02,0.1900081349174407,0.11786959350356677,0.15877916426448022,0.1764611875347393,0.1095836789813776,0.1765047612168217,0.12531725885653283,0.1104126830455943,0.1606049959087305,0.15447596529765154,0.15136145584004349,0.17450574417850587,0.13297324971316524,0.13190035726765892
2078-12-03,0.18812041359404252,0.11613115330997893,0.15711304170915705,0.174533700024582,0.1080308295167173,0.17477849774427637,0.12384148582140768,0.10890073638577866,0.15877674119520008,0.1526863144572006,0.1496566353049317,0.17282048800766994,0.1312134356169385,0.1301880480566966
2078-12-04,0.18625305432101702,0.11441867201300315,0.15546509471385006,0.17262839913936634,0.10650051540212019,0.17307110428255854,0.12238391087714376,0.10741118211055707,0.15696963425310348,0.15091968550292661,0.14797155105049895,0.17115273291833352,0.12947884193485265,0.1284995885382898
2078-12-05,0.18440565114935953,0.11273172260429899,0.15383504226472008,0.17074491671557737,0.10499234636506077,0.17138217064250022,0.1209442051479703,0.10594351991747201,0.15518337970996857,0.14917554159124502,0.14630591789561628,0.16950216082364078,0.1277688965714673,0.12683448562820546
2078-12-06,0.1825778253826702,0.11106988989671267,0.15222261702875886,0.1688829013831199,0.10350594613153459,0.1697113136342141,0.11952205776409328,0.10449727619894222,0.15341769379536485,0.14745338073162534,0.1446594604195094,0.1678684725321497,0.1260830616184908,0.1251922712971072
2078-12-07,0.1807692226950917,0.10943276966676242,0.1506275639479796,0.16704201709080385,0.10204095123254885,0.1680581744924054,0.11811717393991088,0.10307200167277714,0.15167230297463485,0.1457527323725017,0.1430319121826119,0.1662513859218346,0.12442082996203041,0.12357250037345537
2078-12-08,0.17897951057094974,0.1815873706888449,0.14904963899660872,0.16522194177980612,0.10059700994416401,0.23602269630719178,0.3386585573418036,0.20101867138778726,0.2120952528084849,0.19969770196813258,0.2430686418426926,0.16465063430177776,0.20998686785006893,0.28854106268143237
2078-12-09,0.5828711235962091,0.39880300610230124,0.397200118517001,0.31448950588478963,0.4024676086487055,0.44011569415381563,0.8342620224589404,0.47610445794847,0.45530145303276587,0.4061780960237189,0.6163419747074204,0.16306560863526928,0.454241198094228,0.6663888781640641
2078-12-10,0.3227302187876797,0.32910898556711077,0.29106596631480697,0.29011593255031576,0.2854908464841647,0.400382736832177,0.29980997203590876,0.40708308093904344,0.41238328546474823,0.3777333232069854,0.3834238762295742,0.16149552633354763,0.40363699184678276,0.27042519091459266
2078-12-11,0.3063836824836004,0.2808225508213966,0.24788697157581802,0.27014773465668485,0.23011256583086986,0.36743893113390524,0.28010472551607535,0.3541687878696428,0.37559980262446735,0.35240917657120513,0.280639553742103,0.15994119948514315,0.3629747094389584,0.2575558662979765
2078-12-12,0.2916754051223108,0.24670255262258012,0.22691623742040273,0.2536709674251554,0.20153256981497192,0.3399135139419116,0.2625812166209052,0.3131761806643111,0.34403640000004176,0.3298286588479835,0.23354648465216793,0.15840239507323614,0.3298489333605259,0.2457928183000896
2078-12-13,0.2784235128759229,0.22202491262599802,0.21414789235027526,0.2399681548622548,0.18485167236442693,0.3167341012985312,0.24697885438505585,0.28104685313772215,0.3169152813655717,0.3096624952844336,0.2104133103460516,0.15687889105231945,0.3024965463222291,0.23502760525876404
2078-12-14,0.2664665172838708,0.20369935358617705,0.2047245564885301,0.22847540908548034,0.1736632696094784,0.2970593218916019,0.23306841493268748,0.25554188528661836,0.29357498905590085,0.29162284308330155,0.19770212402501922,0.15537047533395146,0.27961750700693067,0.22516261495562664
2078-12-15,0.2556610284406577,0.1896971157707969,0.19692375620374525,0.2187489741725529,0.16518813968115842,0.280226917830545,0.22064826302863605,0.23501865571201133,0.2734529971351515,0.27545786056856947,0.18962603606492534,0.15387694487632964,0.2602465486757552,0.2161099805258379
2078-12-16,0.2458797247345481,0.17868003739180027,0.19010172817101578,0.21043911654023284,0.15819926536458717,0.2657137348968417,0.20954102881004466,0.21826881019014502,0.2560709091434906,0.26094701494957556,0.18370146895959324,0.15239810486696076,0.2436612283178669,0.20779060492520213
2078-12-17,0.23700955035531443,0.16976003442750806,0.18398982828084054,0.20326974269777176,0.15213636290640112,0.25310485474477173,0.19959068486362377,0.20440059118271314,0.24102187068846742,0.24789702503878006,0.17885364984759952,0.1509337679888093,0.22931593566659447,0.20013328308362804
2078-12-18,0.22895011501812773,0.16234303846834988,0.17845331211800997,0.1970224826766852,0.14672775809587707,0.2420697588663678,0.19065997541957438,0.1927533493223644,0.22795986546633645,0.2361383501908565,0.17460953948610025,0.14948375376130255,0.21679445180790158,0.1930739119625534
2078-12-19,0.22161227321740673,0.1560276491554805,0.1734082260788456,0.19152425592026445,0.14182865407577377,0.23234390338725666,0.18262815524327514,0.18283540497376088,0.21659061289084183,0.22552214945652121,0.17075392343222887,0.14804788794845958,0.20577577149072496,0.18655477971357162
2078-12-20,0.21491686286955552,0.1505392431654565,0.16879241344750906,0.18663755337747942,0.1373517243439472,0.22371445935939166,0.17538900091597057,0.17427885483818573,0.20666382767796093,0.2159176458085913,0.16718278317416127,0.14662600202721368,0.1960094176007764,0.1805239260170158
2078-12-21,0.20879358546310323,0.14568706936703696,0.16455508429921095,0.18225283858280988,0.13323712406214247,0.21600926158627015,0.16884906169022484,0.16680667826203424,0.19796663759561064,0.20720983957653374,0.1638407053619529,0.14521793270971148,0.18729755586656638,0.17493456647250116
2078-12-22,0.20318001184084547,0.14133625391347188,0.16065279101757518,0.17828260220691994,0.12943935491163971,0.20908823043416697,0.16292612105898271,0.1602087738723305,0.19031798608165384,0.19929752315412078,0.16069409747291635,0.14382352151401667,0.17948198763600298,0.1697445746272322
2078-12-23,0.19802069951961376,0.13738948381048643,0.1570476470112509,0.1746567071828234,0.12592135683739053,0.2028367011113431,0.1575478436539386,0.1543244823983114,0.18356387236471733,0.1920915558224472,0.1577196664414416,0.14244261437822114,0.1724346475029609,0.1649160158702078
2078-12-24,0.19326640903451797,0.13377497934219978,0.153706359728879,0.1713187414746757,0.12265171725094325,0.19716022547921205,0.15265058514691807,0.1490298224775164,0.17757330377319966,0.1855133633273268,0.15489940941594402,0.14107506131348369,0.16605062410477212,0.16041472799845832
2078-12-25,0.18887340819832926,0.1304385583421723,0.1505995840308366,0.1682231578675785,0.11960324127820166,0.19198051176095124,0.14817834551759096,0.14422815280256351,0.17223485366906421,0.17949363181042471,0.15221838845634483,0.13972071609197861,0.16024300175517806,0.15620994378156983
2078-12-26,0.1848028544130061,0.1273383676127849,0.14770142216803478,0.1653330287163895,0.11675213041974157,0.1872322445686735,0.14408184841643332,0.13984332683145093,0.16745373438834918,0.17397116994031833,0.14966370026726908,0.1383794359661536,0.1549390199358528,0.15227395131878468
2078-12-27,0.18102024627687074,0.12444135702276458,0.14498900662776945,0.16261828143726262,0.11407744542391512,0.18286058687909693,0.1403177314324754,0.1358146622123601,0.16314930812965708,0.16889191672761827,0.14722396329636894,0.13705108141606576,0.15007719000064682,0.1485817884041326
2078-12-28,0.17749493671331928,0.12172089588183116,0.14244214021571613,0.16005431002391796,0.1115607122349013,0.17881921109360419,0.1368478339053434,0.13209323271073586,0.15925297026225527,0.16420807562638196,0.14488903272135187,0.13573551592190172,0.1456051101122718,0.1451109674940359
2078-12-29,0.17419970071910748,0.11915514120273504,0.1400429812191527,0.1576208808649485,0.10918560827266761,0.1750687413023454,0.13363857053061987,0.12863912509242748,0.1557063493304408,0.15987735819815044,0.14264981926930875,0.1344326057590847,0.14147779209335365,0.1418412282128686
2078-12-30,0.17111035160457222,0.11672590361441541,0.13777576650076023,0.15530126906493572,0.10693770002841944,0.17157551577505248,0.13066038042316697,0.1254194011204237,0.15245977636867544,0.15586232290964383,0.14049815834293045,0.13314221981364074,0.13765636584542934,0.13875431463883317
2078-12-31,0.1682054002855934,0.11441784501001324,0.13562656743448076,0.15308157544957907,0.10480421760475961,0.16831059939761528,0.12788724254814363,0.12240657572136016,0.14947098323222785,0.15212979660551051,0.13842670603772744,0.13186422941573703,0.13410706419647894,0.13583377488867324
2079-01-01,0.16546575279742667,0.11221789934836646,0.13358307461020957,0.1509501853350724,0.10277385830855286,0.1652489917019182,0.12529624952453342,0.11957747383630062,0.14670399567735715,0.14865036789046737,0.13642885152113174,0.1305985081895206,0.13080041770485484,0.13306478076823655
2079-01-02,0.16287444174238921,0.11011484528586059,0.13163440785516806,0.14889733864365345,0.10083661437362218,0.1623689884014695,0.1228672327691705,0.11691236582849249,0.1441281920521954,0.14539794311071583,0.13449864078948243,0.1293449319175793,0.12771060808754592,0.13043396547951835
2079-01-03,0.16041638786444368,0.10809898356047827,0.1297709485739549,0.14691478757968476,0.09898362133886929,0.15965166379501544,0.12058243279638291,0.11439430845115507,0.14171750281942813,0.14234935687680275,0.13263070923143175,0.12810337841852065,0.12481494270205751,0.12792927757603448
