,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14
2000-04-16,0.16929987241034647,0.10013829673796586,0.1533082337685819,0.1432786038579531,0.10160985369575615,0.21165494241599164,0.16827620625280074,0.23708339894386346,0.1359626759350085,0.14859240090174022,0.1552424216097897,0.1700717543762975,0.6563537305904359,0.35075404523880277
2000-04-17,0.1667780869945128,0.09797796049276883,0.15093456629578778,0.14123563184150767,0.09933098276521007,0.20773644615055448,0.16499283195428907,0.2246864805133748,0.13372430721916218,0.14574438574128212,0.1519013307554599,0.16754810158919783,0.5987005243425989,0.3097179776640662
2000-04-18,0.16437755073700097,0.09593436676929788,0.14867649113675563,0.1392673517406288,0.09718323909126561,0.20404579130665845,0.161905269529241,0.2138245729065248,0.1316148657315777,0.14305062121743745,0.1487602316836678,0.16514185481760557,0.5507009561135487,0.2932958728468996
2000-04-19,0.16208623649520745,0.09399522959042542,0.14652213441929723,0.13736688374223363,0.09515317725835339,0.2005609897152067,0.15899227802552462,0.20421785730125236,0.129617426902639,0.14049625819377504,0.1458003438080014,0.1628422281831256,0.510244272743752,0.2783308719206826
2000-04-20,0.1598934512682633,0.09214977649915286,0.1444609988780096,0.13552821021354766,0.09322889987499318,0.19726242942746358,0.15623514774743194,0.1956497592122864,0.12771756793248443,0.1380680532728166,0.14300478034503503,0.1606395384283092,0.4757545404301624,0.2646794656817546
2000-04-21,0.15778968666501336,0.09038855193022037,0.14248380239453726,0.13374604766942005,0.09139987661538224,0.19413259231250138,0.15361739564383156,0.18795092831212332,0.1259029943544117,0.13575418859895502,0.14035835574915492,0.15852509103260445,0.44604481960361764,0.25221248522061585
2000-04-22,0.1557664861463882,0.08870324845693589,0.1405823354946444,0.13201574082290904,0.08965678445676196,0.19115581034563062,0.15112449738860856,0.18098748564782005,0.12416322238350468,0.1335441125724091,0.13784741275225926,0.15649107810135177,0.4202123861161482,0.24081366626206496
2000-04-23,0.15381632716029497,0.0870865612007675,0.13874933557616612,0.13033317445884693,0.08799136662728713,0.18831805428725173,0.14874365173317428,0.174652378664126,0.12248930871644603,0.1314283989542984,0.1354596670084363,0.15453048681066753,0.3975632958828762,0.23037835726920472
2000-04-24,0.15193251649827938,0.08553206172125483,0.13697837590330403,0.12869469974976547,0.08639630807171733,0.1856067496472668,0.14646357324332662,0.16885900191654263,0.1208736206935767,0.1293986221591632,0.13318406754988257,0.15263701731689622,0.37755794356893063,0.22081235691466886
2000-04-25,0.15010909739064635,0.08403408844856435,0.13526376763341666,0.12709707232497774,0.08486512549972124,0.18301061577473138,0.14427431000108654,0.16353647167103452,0.11930964079333707,0.12744724680617334,0.13101067144399947,0.1508050091521379,0.3597716565624055,0.21203086796412204
2000-04-26,0.14834076702313698,0.0825876512715079,0.13360047334604608,0.12553739994776664,0.08339207030853263,0.1805195246615374,0.14216708326406347,0.15862610969391688,0.11779180033007478,0.12556752983946678,0.12893053120595316,0.14902937522851978,0.3438660699608067,0.20395755591441034
2000-04-27,0.14662280330600116,0.08118834831014227,0.13198403072360587,0.12401309808452413,0.0819720428719084,0.17812437664562908,0.14013414643720423,0.15407881280402938,0.11631533799246364,0.12375343373635796,0.12693559366832655,0.14730554266458426,0.3295682437470383,0.19652370189614893
2000-04-28,0.34653539275705825,0.21087003822762596,0.3016451129912531,0.1988473290978607,0.25201971916640875,0.35303696506679416,0.49015257193392736,0.3455806660764556,0.24240027308837964,0.21058960043343256,0.32692049508290844,0.3297816610139928,0.49248944129608785,0.5463170544619196
2000-04-29,0.6698851389961347,0.47585323775956756,0.6193655332196488,0.3633713015467558,0.5796184819989563,0.6773307646538411,0.9892671008978098,0.692393724700458,0.5009674634844989,0.4001614770484121,0.7105072637189495,0.6920410100106108,0.783949606020328,1.0040417151447028
2000-04-30,1.2804419079525293,1.0711919190867658,1.2189235248313772,0.6922652574233924,1.2438637692825378,1.270998208747366,1.875655389142383,1.3971816157217265,0.9843202104444716,0.7597884068725458,1.4067482003545253,1.419036621869715,1.3001989376404084,1.814000484933343
2000-05-01,1.3269156261574937,1.330795310685988,1.37635178539716,0.8579107110335837,1.504574811540355,1.5246445056056896,1.819926885647091,1.6822383513074282,1.1891574822033926,0.9155482248596589,1.5067238658501232,1.4859915000254398,1.5056084650334596,1.8133403315507552
2000-05-02,1.3156667762770413,1.3974342532095312,1.3797743655863965,0.9191935422036244,1.544281241885177,1.6122557693130324,1.7574415039023208,1.7780638350081404,1.2567008172614687,0.9793993959599949,1.4545769678727303,1.4489258862006236,1.5793604944619992,1.7926127310085767
2000-05-03,1.1171379867565276,1.2754825712093156,1.1848544709551503,0.8561649663221228,1.363128639418298,1.5262467313706574,1.5058299893854241,1.6808610789106853,1.1719727759044727,0.9461167104724141,1.2542431809319083,1.172309912674369,1.5123244974086425,1.5832980925457592
