,ED,NSE,logNSE,NSEfdc,NSErunoff,Ks,Ratio_Riparian
24,0.6497736694127035,0.23431410248405926,0.3291265043573893,0.47123467402112007,0.3893574080690746,0.0135,0.461
25,0.5620215481303044,0.14734789093262302,0.5349085460106376,0.6279680680445054,0.5736909053449448,0.0191,0.423
26,0.5363292187350688,0.2975290196647785,0.7820669931199791,0.8690921907781654,0.23026043673218777,0.011,0.207
27,0.7432884794963664,0.3555525947462993,0.17845610695948078,0.16824992521121673,0.34589294319160924,0.0267,0.153
28,0.3941528632872429,0.4195816879420722,0.6879656675257755,0.7728699016826663,0.6317786054916452,0.0202,0.358
29,0.5048340668315648,0.29114486473180934,0.7576071329941061,0.8791856102849408,0.33396417618783947,0.0065,0.467
30,0.6152927761668858,0.33543925301296906,0.576311147417405,0.5986755810680326,0.1443562177267832,0.0211,0.162
31,0.7298485242341561,0.41664087393439997,0.10831043204098323,0.07588972851577103,0.6240777688490766,0.0347,0.353
32,0.6983574361245888,0.4227486873581414,0.21617966205660344,0.16986961185643323,0.4395514538138241,0.0222,0.075
33,0.40489736233262297,0.3389356422685096,0.6816624906271349,0.8998677414243147,0.672286448324872,0.0058,0.401
34,0.5019710991423026,0.3059102113574401,0.6465698403088896,0.9433387356024507,0.36911496599123583,0.0018,0.065
35,0.4869916031870136,0.2842354098649883,0.8561961506704802,0.9009045474655969,0.36295613807799376,0.0135,0.45
36,0.5366438391520033,0.3525336211993546,0.6086797312650958,0.6659247373179287,0.31589774531643955,0.0134,0.092
37,0.7323365554797309,0.44351014591733495,0.04602118204498329,0.08152727561516349,0.7137856856742363,0.0314,0.237
38,0.6098976711915282,0.2724248591805394,0.7008008546366438,0.6659813654194402,0.12968596763713203,0.0066,0.469
39,0.7311901641461869,0.2660648865366474,0.15399371633119607,0.3730552707426743,0.29920819906950635,0.0073,0.386
40,0.3130149416988385,0.44770419877172407,0.8319111005768288,0.9308990538065506,0.7679354745369238,0.0235,0.497
41,0.43405537555469614,0.34476781149944213,0.5885645951529543,0.7678253948840184,0.6820331531085855,0.0064,0.145
42,0.794928854303819,0.21097962375464108,0.14339217992433895,0.20392891665772706,0.26679589994310215,0.0194,0.221
43,0.7204091964831505,0.2722791026828777,0.21851618880302104,0.35246553773811595,0.28141659486305004,0.0181,0.307
44,0.4100702148515284,0.4191805155988686,0.608050237731286,0.7540323659691578,0.6519276543011685,0.0226,0.299
45,0.6184275679885062,0.25843040216934565,0.8145655618192105,0.8668555425404352,0.03679089417179582,0.0165,0.5
46,0.5480092596917667,0.25005671583099365,0.48377264789313035,0.7250518646403896,0.4552482132562743,0.0048,0.417
47,0.5174451472908557,0.27493473377899436,0.8338463145623736,0.8947714104532328,0.2882428937504199,0.0123,0.489
48,0.5411433942384464,0.27035578757995593,0.6181511047973987,0.7734447394973454,0.33529844970491685,0.0051,0.203
49,0.771312064488128,0.3707204821277158,0.20162834994207846,0.1689827920045036,0.19024102346109217,0.0274,0.493
